Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total establishments in block
2017,902,Parkville,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,903,Parkville,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4
2017,904,Parkville,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4
2017,905,Parkville,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2017,906,Parkville,1,1,0,0,13,0,1,0,2,4,2,1,2,5,0,0,0,1,1,1,35
2017,907,Parkville,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,908,Parkville,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2017,909,Parkville,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2017,910,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,911,Parkville,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2017,912,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,913,Parkville,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2017,914,Parkville,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
2017,915,Parkville,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,5
2017,916,Parkville,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2017,917,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,918,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,919,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,920,Parkville,0,0,0,0,2,0,0,0,1,6,58,0,0,3,0,0,0,5,1,0,76
2017,921,Parkville,0,0,0,0,3,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,13
2017,922,Parkville,2,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,11
2017,923,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,924,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,925,Parkville,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,926,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,927,Parkville,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2017,928,Parkville,0,0,0,10,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,17
2017,929,Parkville,0,0,0,1,0,0,1,0,0,1,4,0,0,0,2,0,0,0,0,0,9
2017,930,Parkville,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,5
2017,931,Parkville,1,0,0,19,0,0,0,4,0,20,15,0,0,4,0,0,0,6,1,0,70
2017,1001,West Melbourne (Industrial),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10
2017,1002,West Melbourne (Industrial),0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4
2017,1004,West Melbourne (Industrial),0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,9
2017,1005,West Melbourne (Industrial),0,0,0,2,0,1,0,2,0,2,0,0,0,1,0,1,0,2,4,0,15
2017,1006,West Melbourne (Industrial),0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,9,0,13
2017,1007,West Melbourne (Industrial),0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,12,0,15
2017,1009,West Melbourne (Industrial),0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,6
2017,1012,North Melbourne,0,1,0,0,3,2,0,2,0,0,0,0,8,1,0,0,1,0,5,2,25
2017,1013,West Melbourne (Industrial),0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,6
2017,1014,West Melbourne (Industrial),0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,13
2017,1015,West Melbourne (Industrial),0,0,0,1,0,1,0,1,0,1,0,0,2,4,0,0,0,3,0,2,15
2017,1016,Kensington,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,1101,Docklands,1,2,0,4,0,0,0,3,1,44,3,3,2,8,2,3,4,100,8,0,188
2017,1102,Docklands,1,1,0,0,21,3,2,0,4,4,3,3,2,5,1,0,0,1,3,0,54
2017,1103,Docklands,1,2,0,5,4,0,1,1,4,39,3,1,0,7,0,5,1,4,2,0,80
2017,1104,Docklands,0,1,0,4,14,2,0,0,3,10,0,3,2,8,0,3,0,4,3,3,60
2017,1105,Docklands,1,5,1,3,14,1,0,0,7,30,5,5,1,3,4,5,0,3,5,3,96
2017,1106,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1107,Docklands,0,0,0,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,7
2017,1108,Docklands,0,11,0,9,41,3,3,2,12,58,9,5,5,17,1,12,1,8,4,2,203
2017,1109,Docklands,9,12,1,5,44,5,4,1,10,26,5,2,0,14,2,20,0,17,12,14,203
2017,1110,Docklands,0,2,0,9,2,5,3,2,1,23,2,2,1,9,0,2,0,76,0,0,139
2017,1111,West Melbourne (Industrial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2017,1112,Docklands,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,1,1,0,8
2017,2381,North Melbourne,0,0,0,0,10,1,2,0,2,0,1,0,1,2,0,0,0,0,1,0,20
2017,2382,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
2017,2383,North Melbourne,0,1,0,0,0,4,1,1,0,0,1,1,0,1,0,0,0,1,0,1,12
2017,2384,North Melbourne,1,3,1,0,2,2,2,0,0,0,2,1,1,1,0,0,0,1,0,0,17
2017,2385,North Melbourne,0,0,0,1,0,1,1,0,0,1,2,0,1,0,0,0,0,1,0,4,12
2017,2386,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2017,2387,North Melbourne,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,6,13
2017,2388,North Melbourne,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,5
2017,2389,North Melbourne,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
2017,2390,North Melbourne,0,4,0,1,4,3,2,0,0,4,0,1,4,1,0,0,1,1,2,8,36
2017,2391,North Melbourne,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,2392,North Melbourne,0,0,0,0,0,0,0,0,0,3,1,0,1,3,0,0,0,3,1,0,12
2017,2501,Kensington,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,2502,Kensington,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,2503,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,2504,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2505,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2506,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2507,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2508,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2509,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,2510,Kensington,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2017,2511,Kensington,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,2512,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,2513,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2515,Kensington,0,2,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7
2017,2516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,2519,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2520,Kensington,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2017,2521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,2522,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2523,Kensington,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,5
2017,2524,Kensington,0,1,0,1,1,0,0,0,1,9,1,0,2,7,0,2,0,13,1,0,39
2017,2525,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2017,2527,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,2528,Kensington,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2017,2529,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2530,Kensington,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,4
2017,2531,Kensington,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
2017,2532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
2017,2533,Kensington,0,0,0,2,2,0,1,0,0,0,1,0,2,3,1,0,0,0,3,1,16
2017,2534,Kensington,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,7
2017,2535,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2537,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2538,Kensington,0,0,0,0,2,0,2,0,0,0,0,0,2,3,0,0,2,2,0,0,13
2017,2539,Kensington,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
2017,2540,Kensington,0,2,0,1,8,5,0,0,1,1,2,1,5,0,0,0,2,1,2,1,32
2017,2541,Kensington,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3
2017,2542,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2544,Kensington,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4
2017,2545,Kensington,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,5
2017,2546,Kensington,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,5
2017,2547,Kensington,0,0,0,1,4,0,0,0,0,0,2,0,2,1,1,0,0,0,0,1,12
2017,2548,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,0,City of Melbourne (total),291,629,56,632,2825,374,650,190,930,2734,1140,279,529,1578,266,415,63,2386,331,418,16716
